Name,Latitude,Longitude,Location Type,Individual Link
Newnham College bar,52.1997,0.1078,College Bar,College
Pembroke College bar,52.2019,0.1221,College Bar,College
Peterhouse bar,52.201,0.1205,College Bar,College
Queens' College bar,52.2025,0.1156,College Bar,College
Robinson College bar,52.2065,0.1082,College Bar,College
St Catharine's College bar,52.2039,0.1177,College Bar,College
St Edmund's College bar,52.2125,0.1086,College Bar,College
St John's College bar,52.2079,0.1171,College Bar,College
Selwyn College bar,52.2005,0.1056,College Bar,College
Trinity College bar,52.207,0.117,College Bar,College
Trinity Hall College bar,52.206,0.116,College Bar,College
Sidney Sussex College bar,52.2065,0.1232,College Bar,College
Christ's College Canteen,52.2052,0.1217,Canteen,College
Churchill College Canteen,52.2139,0.103,Canteen,College
Clare College Canteen,52.2051,0.1158,Canteen,College
Clare Hall Canteen,52.2041,0.1045,Canteen,College
Corpus Christi College Canteen,52.2036,0.1193,Canteen,College
Darwin College Canteen,52.201,0.1147,Canteen,College
Downing College Canteen,52.2007,0.1248,Canteen,College
Emmanuel College Canteen,52.2033,0.126,Canteen,College
Fitzwilliam College Canteen,52.2152,0.1102,Canteen,College
Girton College Canteen,52.2286,0.0839,Canteen,College
Gonville & Caius College Canteen,52.2055,0.1189,Canteen,College
Homerton College Canteen,52.1851,0.1367,Canteen,College
Hughes Hall Canteen,52.1994,0.1336,Canteen,College
Jesus College Canteen,52.2073,0.1218,Canteen,College
King's College Canteen,52.2045,0.1171,Canteen,College
Lucy Cavendish College Canteen,52.2111,0.1099,Canteen,College
Magdalene College Canteen,52.21,0.1175,Canteen,College
Murray Edwards College Canteen,52.2141,0.1092,Canteen,College
Newnham College Canteen,52.1997,0.1078,Canteen,College
Pembroke College Canteen,52.2019,0.1221,Canteen,College
Peterhouse Canteen,52.201,0.1205,Canteen,College
Queens' College Canteen,52.2025,0.1156,Canteen,College
Robinson College Canteen,52.2065,0.1082,Canteen,College
St Catharine's College Canteen,52.2039,0.1177,Canteen,College
St Edmund's College Canteen,52.2125,0.1086,Canteen,College
St John's College Canteen,52.2079,0.1171,Canteen,College
Selwyn College Canteen,52.2005,0.1056,Canteen,College
Trinity College Canteen,52.207,0.117,Canteen,College
Trinity hall college Canteen,52.206,0.116,Canteen,College
Sidney Sussex College Canteen,52.2065,0.1232,Canteen,College
Christ's College Library,52.2052,0.1217,College Library,College
Churchill College Library,52.2139,0.103,College Library,College
Clare College Library,52.2051,0.1158,College Library,College
Clare Hall Library,52.2041,0.1045,College Library,College
Corpus Christi College Library,52.2036,0.1193,College Library,College
Darwin College Library,52.201,0.1147,College Library,College
Downing College Library,52.2007,0.1248,College Library,College
Emmanuel College Library,52.2033,0.126,College Library,College
Fitzwilliam College Library,52.2152,0.1102,College Library,College
Girton College Library,52.2286,0.0839,College Library,College
Gonville & Caius College Library,52.2055,0.1189,College Library,College
Homerton College Library,52.1851,0.1367,College Library,College
Hughes Hall Library,52.1994,0.1336,College Library,College
Jesus College Library,52.2073,0.1218,College Library,College
King's College Library,52.2045,0.1171,College Library,College
Lucy Cavendish College Library,52.2111,0.1099,College Library,College
Magdalene College Library,52.21,0.1175,College Library,College
Murray Edwards College Library,52.2141,0.1092,College Library,College
Newnham College Library,52.1997,0.1078,College Library,College
Pembroke College Library,52.2019,0.1221,College Library,College
Peterhouse Library,52.201,0.1205,College Library,College
Queens' College Library,52.2025,0.1156,College Library,College
Robinson College Library,52.2065,0.1082,College Library,College
St Catharine's College Library,52.2039,0.1177,College Library,College
St Edmund's College Library,52.2125,0.1086,College Library,College
St John's College Library,52.2079,0.1171,College Library,College
Selwyn College Library,52.2005,0.1056,College Library,College
Trinity College Library,52.207,0.117,College Library,College
Trinity Hall Library,52.206,0.116,College Library,College
Sidney Sussex College Library,52.2065,0.1232,College Library,College
Architecture Tripos Lectures,0,0,Lecture Hall,Subject
Asian & Middle Eastern Studies Lectures,0,0,Lecture Hall,Subject
Chem Eng via Engineering Lectures,0,0,Lecture Hall,Subject
Chem Eng via Nat Sciences Lectures,0,0,Lecture Hall,Subject
Classical Tripos Lectures,0,0,Lecture Hall,Subject
Classical Tripos Four Year Lectures,0,0,Lecture Hall,Subject
Computer Science Tripos Lectures,0,0,Lecture Hall,Subject
Economics Tripos Lectures,0,0,Lecture Hall,Subject
Education Tripos Lectures,0,0,Lecture Hall,Subject
Engineering Tripos Lectures,0,0,Lecture Hall,Subject
English Tripos Lectures,0,0,Lecture Hall,Subject
Geographical Tripos Lectures,0,0,Lecture Hall,Subject
Historical Tripos Lectures,0,0,Lecture Hall,Subject
History of Art Tripos Lectures,0,0,Lecture Hall,Subject
"Hum, Soc & Pol Sciences Tripos Lectures",0,0,Lecture Hall,Subject
Land Economy Tripos Lectures,0,0,Lecture Hall,Subject
Law Tripos Lectures,0,0,Lecture Hall,Subject
Linguistics Tripos Lectures,0,0,Lecture Hall,Subject
Mathematical Tripos Lectures,0,0,Lecture Hall,Subject
Medicine Lectures,0,0,Lecture Hall,Subject
Mod & Med Langs Tripos Lectures,0,0,Lecture Hall,Subject
Music Tripos Lectures,0,0,Lecture Hall,Subject
Natural Sciences Tripos Lectures,0,0,Lecture Hall,Subject
Philosophy Tripos Lectures,0,0,Lecture Hall,Subject
Psych & Behav Sciences Tripos Lectures,0,0,Lecture Hall,Subject
"Theo,Relig,&Philo of Re Tripos Lectures",0,0,Lecture Hall,Subject
History & Politics Tripos Lectures,0,0,Lecture Hall,Subject
History and Mod Lang Tripos Lectures,0,0,Lecture Hall,Subject
Veterinary Medicine Lectures,0,0,Lecture Hall,Subject
Archaeology Tripos Lectures,0,0,Lecture Hall,Subject
ASNC Tripos Lectures,0,0,Lecture Hall,Subject
Theol for Ministry Exam Lectures,0,0,Lecture Hall,Subject
Medicine (Graduate Course) Lectures,0,0,Lecture Hall,Subject
Architecture Tripos Library,0,0,Subject Library,Subject
Asian & Middle Eastern Studies Library,0,0,Subject Library,Subject
Chem Eng via Engineering Library,0,0,Subject Library,Subject
Chem Eng via Nat Sciences Library,0,0,Subject Library,Subject
Classical Tripos Library,0,0,Subject Library,Subject
Classical Tripos Four Year Library,0,0,Subject Library,Subject
Computer Science Tripos Library,0,0,Subject Library,Subject
Economics Tripos Library,0,0,Subject Library,Subject
Education Tripos Library,0,0,Subject Library,Subject
Engineering Tripos Library,0,0,Subject Library,Subject
English Tripos Library,0,0,Subject Library,Subject
Geographical Tripos Library,0,0,Subject Library,Subject
Historical Tripos Library,0,0,Subject Library,Subject
History of Art Tripos Library,0,0,Subject Library,Subject
"Hum, Soc & Pol Sciences Tripos Library",0,0,Subject Library,Subject
Land Economy Tripos Library,0,0,Subject Library,Subject
Law Tripos Library,0,0,Subject Library,Subject
Linguistics Tripos Library,0,0,Subject Library,Subject
Mathematical Tripos Library,0,0,Subject Library,Subject
Medicine Library,0,0,Subject Library,Subject
Mod & Med Langs Tripos Library,0,0,Subject Library,Subject
Music Tripos Library,0,0,Subject Library,Subject
Natural Sciences Tripos Library,0,0,Subject Library,Subject
Philosophy Tripos Library,0,0,Subject Library,Subject
Psych & Behav Sciences Tripos Library,0,0,Subject Library,Subject
"Theo,Relig,&Philo of Re Tripos Library",0,0,Subject Library,Subject
History & Politics Tripos Library,0,0,Subject Library,Subject
History and Mod Lang Tripos Library,0,0,Subject Library,Subject
Veterinary Medicine Library,0,0,Subject Library,Subject
Archaeology Tripos Library,0,0,Subject Library,Subject
ASNC Tripos Library,0,0,Subject Library,Subject
Theol for Ministry Exam Library,0,0,Subject Library,Subject
Medicine (Graduate Course) Library,0,0,Subject Library,Subject
Fitzbillies,52.2017,0.119,Caff,College
The Copper Kettle,52.2047,0.1181,Caff,College
Bould Brothers Coffee,52.2036,0.1226,Caff,College
Aromi,52.2046,0.1205,Caff,College
Hot Numbers Coffee,52.1916,0.1378,Caff,College
Stir,52.2166,0.1378,Caff,College
Indigo Coffee House,52.2018,0.1232,Caff,College
Michaelhouse Cafe,52.2062,0.1187,Caff,College
Outside,0,0,Outdoors,None
Alone,0,0,Outdoors,None
Room Posts,0,0,Pub,Group
Other,0,0,Outdoors,None
